,,,Detailed Metrics for DL Models                      ,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site,Model,RMSE,MAE,Presion,Recall,,Site,Model,RMSE,MAE,Presion,Recall,
석수하수처리장,LSTM,3.08,2.31,0.75,0.82,,한국 원자력 안전 기술원,LSTM,2.91,2,0.65,0.69,
,CNN LSTM,,,,,,,CNN LSTM,,,,,
,LSTM41,,,,,,,LSTM41,,,,,
,LSTM RESET,,,,,,,LSTM RESET,,,,,
,GRU,,,,,,,GRU,,,,,
,N-BEATS,,,,,,,N-BEATS,,,,,
국립 문화재 연구원,LSTM,1.81,1.34,0.74,0.76,,카이스트 화암생활관,LSTM,2.76,1.89,0.77,0.83,
,CNN LSTM,,,,,,,CNN LSTM,,,,,
,LSTM41,,,,,,,LSTM41,,,,,
,LSTM RESET,,,,,,,LSTM RESET,,,,,
,GRU,,,,,,,GRU,,,,,
,N-BEATS,,,,,,,N-BEATS,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site,Model,RMSE,MAE,Presion,Recall,,Site,Model,RMSE,MAE,Presion,Recall,
삼양사 중앙 연구소,LSTM,2.6,1.81,0.81,0.84,,도시재생현장지원센터 옆 ,LSTM,2.79,2.14,0.75,0.75,
,CNN LSTM,,,,,,,CNN LSTM,,,,,
,LSTM41,,,,,,,LSTM41,,,,,
,LSTM RESET,,,,,,,LSTM RESET,,,,,
,GRU,,,,,,,GRU,,,,,
,N-BEATS,,,,,,,N-BEATS,,,,,
M카서비스 아래 도로 (인도포함),LSTM,2.73,1.99,0.73,0.85,,부산함석 아래 계단,LSTM,3.6,2.56,0.81,0.79,
,CNN LSTM,,,,,,,CNN LSTM,,,,,
,LSTM41,,,,,,,LSTM41,,,,,
,LSTM RESET,,,,,,,LSTM RESET,,,,,
,GRU,,,,,,,GRU,,,,,
,N-BEATS,,,,,,,N-BEATS,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site,Model,RMSE,MAE,Presion,Recall,,Site,Model,RMSE,MAE,Presion,Recall,
청소년문화의집 옆,LSTM,3.07,2.28,0.77,0.82,,상보안유원지,LSTM,3.04,2.15,0.81,0.76,
,CNN LSTM,,,,,,,CNN LSTM,,,,,
,LSTM41,,,,,,,LSTM41,,,,,
,LSTM RESET,,,,,,,LSTM RESET,,,,,
,GRU,,,,,,,GRU,,,,,
,N-BEATS,,,,,,,N-BEATS,,,,,
계룡대교 ,LSTM,2.88,2.18,0.73,0.59,,화암육교 ,LSTM,2.54,1.9,0.74,0.79,
,CNN LSTM,,,,,,,CNN LSTM,,,,,
,LSTM41,,,,,,,LSTM41,,,,,
,LSTM RESET,,,,,,,LSTM RESET,,,,,
,GRU,,,,,,,GRU,,,,,
,N-BEATS,,,,,,,N-BEATS,,,,,
,,,,,,,,,,,,,
,,Site,Model,RMSE,MAE,Presion,Recall,,,,,,
,,Aggregate,LSTM,2.47,1.78,0.78,0.81,,,,,,
,,,CNN LSTM,,,,,,,,,,
,,,LSTM41,,,,,,,,,,
,,,LSTM RESET,,,,,,,,,,
,,,GRU,,,,,,,,,,
,,,N-BEATS,,,,,,,,,,
